역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명
3122,부평삼거리,S2801,인천지하철 1호선,Bupyeongsamgeori,富平三거리,일반역,-,-,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,032-516-3122,2020-11-30,B551894,인천교통공사
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2020-11-30,B551894,인천교통공사
3124,인천시청,S2801,인천지하철 1호선,Incheon City Hall,仁川市廳,일반역,-,-,37.457615,126.702216,인천교통공사,인천광역시 남동구 예술로 264,032-441-3124,2020-11-30,B551894,인천교통공사
3125,예술회관,S2801,인천지하철 1호선,Arts Center,藝術會館,일반역,-,-,37.449334,126.700991,인천교통공사,인천광역시 남동구 예술로 172,032-441-3125,2020-11-30,B551894,인천교통공사
3126,인천터미널,S2801,인천지하철 1호선,Incheon Bus Terminal,仁川터미널,일반역,-,-,37.441917,126.699727,인천교통공사,인천광역시 미추홀구 예술로 85,032-441-3126,2020-11-30,B551894,인천교통공사
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2020-11-30,B551894,인천교통공사
3128,선학,S2801,인천지하철 1호선,Seonhak,仙鶴,일반역,-,-,37.426985,126.698872,인천교통공사,인천광역시 연수구 경원대로 480,032-821-3128,2020-11-30,B551894,인천교통공사
3129,신연수,S2801,인천지하철 1호선,Sinyeonsu,新延壽,일반역,-,-,37.418032,126.693853,인천교통공사,인천광역시 연수구 경원대로 368,032-813-3129,2020-11-30,B551894,인천교통공사
3130,원인재,S2801,인천지하철 1호선,Woninjae,源仁齋,환승역,I2801+I2802,수인선,37.412364,126.687893,인천교통공사,인천광역시 연수구 경원대로 285,032-816-3130,2020-11-30,B551894,인천교통공사
3131,동춘,S2801,인천지하철 1호선,Dongchun,東春,일반역,-,-,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,032-814-5702,2020-11-30,B551894,인천교통공사
3132,동막,S2801,인천지하철 1호선,Dongmak,東幕,일반역,-,-,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,032-816-5584,2020-11-30,B551894,인천교통공사
3133,캠퍼스타운,S2801,인천지하철 1호선,Campus Town,-,일반역,-,-,37.388209,126.661985,인천교통공사,인천광역시 연수구 송도국제대로 66,032-451-3183,2020-11-30,B551894,인천교통공사
3134,테크노파크,S2801,인천지하철 1호선,Technopark,-,일반역,-,-,37.382311,126.656355,인천교통공사,인천광역시 연수구 송도국제대로 150,032-451-3184,2020-11-30,B551894,인천교통공사
3113,임학,S2801,인천지하철 1호선,Imhak,林鶴,일반역,-,-,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,032-541-3113,2020-11-30,B551894,인천교통공사
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,-,-,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2020-11-30,B551894,인천교통공사
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat'''''''''''''''''''''''''''''''''''''',京仁敎大入口,일반역,-,-,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2020-11-30,B551894,인천교통공사
3116,작전,S2801,인천지하철 1호선,Jakjeon,鵲田,일반역,-,-,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,032-543-3116,2020-11-30,B551894,인천교통공사
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2020-11-30,B551894,인천교통공사
3118,부평구청,S2801,인천지하철 1호선,Bupyeong-gu Office,富平區廳,환승역,I2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,032-513-9103,2020-11-30,B551894,인천교통공사
3119,부평시장,S2801,인천지하철 1호선,Bupyeong Market,富平市場,일반역,-,-,37.498495,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,032-512-3119,2020-11-30,B551894,인천교통공사
3120,부평,S2801,인천지하철 1호선,Bupyeong,富平,환승역,I2801+I1101,1호선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,032-515-9103,2020-11-30,B551894,인천교통공사
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2020-11-30,B551894,인천교통공사
151,부개역,k0301,경인선,Bugae,富 開,일반역,,,37.488479,126.740549,한국철도공사,인천시 부평구 수변로 22,1544-7788,2020-12-31,B551457,한국철도공사
152,부평역,k0301,경인선,Bupyeong,富 平,환승역,,경인/인천1,37.489457,126.724584,한국철도공사,인천시 부평구 광장로 16,1544-7788,2020-12-31,B551457,한국철도공사
153,백운역,k0301,경인선,Baegun,白 雲,일반역,,,37.483301,126.707179,한국철도공사,인천시 부평구 마장로 55번길 14,1544-7788,2020-12-31,B551457,한국철도공사
154,동암역,k0301,경인선,Dongam,銅 岩,일반역,,,37.470835,126.703016,한국철도공사,인천시 부평구 동암광장로 10,1544-7788,2020-12-31,B551457,한국철도공사
155,간석역,k0301,경인선,Ganseok,間 石,일반역,,,37.464689,126.693408,한국철도공사,인천시 남동구 석정로 522-14,1544-7788,2020-12-31,B551457,한국철도공사
156,주안역,k0301,경인선,Juan,朱 安,환승역,,경인/인천2,37.465041,126.680702,한국철도공사,인천시 남구 주안로 95-19,1544-7788,2020-12-31,B551457,한국철도공사
157,도화역,k0301,경인선,Dohwa,道 禾,일반역,,,37.466154,126.66846,한국철도공사,인천시 남구 숙골로 24번길 9,1544-7788,2020-12-31,B551457,한국철도공사
158,제물포역,k0301,경인선,Jemulpo,濟物浦,일반역,,,37.466809,126.657165,한국철도공사,인천시 남구 경인로 129,1544-7788,2020-12-31,B551457,한국철도공사
159,도원역,k0301,경인선,Dowon,桃 源,일반역,,,37.468604,126.642824,한국철도공사,인천시 동구 참외전로 245,1544-7788,2020-12-31,B551457,한국철도공사
160,동인천역,k0301,경인선,Dongincheon,東仁川,일반역,,,37.475414,126.632598,한국철도공사,인천시 중구 참외전로 119,1544-7788,2020-12-31,B551457,한국철도공사
161,인천역,k0301,경인선,Incheon,仁 川,환승역,k0301+k2015,경인/수인,37.476364,126.616936,한국철도공사,인천시 중구 제물량로 269,1544-7788,2020-12-31,B551457,한국철도공사
3112,박촌,S2801,인천지하철 1호선,Bakchon,朴村,일반역,-,-,37.553525,126.744946,인천교통공사,인천광역시 계양구 장제로 992,032-519-3122,2020-11-30,B551894,인천교통공사
3111,귤현,S2801,인천지하철 1호선,Gyulhyeon,橘峴,일반역,-,-,37.566362,126.742498,인천교통공사,인천광역시 계양구 장제로 1136,032-515-9104,2020-11-30,B551894,인천교통공사
261,소래포구역,K2015,수인선,Soraepogu,蘇來浦口,일반역,,,37.400963,126.733533,한국철도공사,인천시 남동구 소래역로 51,1544-7788,2020-12-31,B551457,한국철도공사
262,인천논현역,K2015,수인선,Incheon Nonhyeon,仁川論峴,일반역,,,37.400641,126.722495,한국철도공사,인천시 남동구 청능대로 567,1544-7788,2020-12-31,B551457,한국철도공사
3110,계양,S2801,인천지하철 1호선,Gyeyang,桂陽,환승역,I2801+S2801,공항철도,37.571539,126.736319,인천교통공사,인천광역시 계양구 다남로 24,032-710-9105,2020-11-30,B551894,인천교통공사
263,호구포역,K2015,수인선,Hogupo,虎口浦,일반역,,,37.401622,126.708682,한국철도공사,인천시 남동구 호구포로 205,1544-7788,2020-12-31,B551457,한국철도공사
264,남동인더스파크역,K2015,수인선,Namdong Induspark,,일반역,,,37.407868,126.695613,한국철도공사,인천광역시 남동구 고잔동 970-14,1544-7788,2020-12-31,B551457,한국철도공사
265,원인재역,K2015,수인선,Woninjae,源仁齋,환승역,K2015,수인/인천1,37.412921,126.686952,한국철도공사,인천시 연수구 벚꽃로 195,1544-7788,2020-12-31,B551457,한국철도공사
266,연수역,K2015,수인선,Yeonsu,延壽,일반역,,,37.417769,126.678991,한국철도공사,인천시 연수구 벚꽃로 115,1544-7788,2020-12-31,B551457,한국철도공사
267,송도역,K2015,수인선,Songdo,松島,일반역,,,37.417769,126.678991,한국철도공사,인천시 연수구 비류대로 175(옥련동),1544-7788,2020-12-31,B551457,한국철도공사
269,인하대역,K2015,수인선,Inha Univ.,仁荷大,일반역,,,37.448191,126.649832,한국철도공사,인천시 남구 용현동 294-3,1544-7788,2020-12-31,B551457,한국철도공사
270,숭의역,K2015,수인선,Sungui,崇 義,일반역,,,37.460891,126.638035,한국철도공사,인천시 남구 인주대로 지하6,1544-7788,2020-12-31,B551457,한국철도공사
271,신포역,K2015,수인선,Sinpo,新 浦,일반역,,,37.468442,126.624509,한국철도공사,인천시 중구 사동 26-19,1544-7788,2020-12-31,B551457,한국철도공사
272,인천,K2015,수인선,Incheon,仁川,환승역,k0301+k2015,경인/수인,37.476364,126.616936,한국철도공사,인천시 중구 제물량로 269,1544-7788,2020-12-31,B551457,한국철도공사
3135,지식정보단지,S2801,인천지하철 1호선,BIT Zone,知識情報團地,일반역,-,-,37.378021,126.645412,인천교통공사,인천광역시 연수구 인천타워대로 57,032-451-3185,2020-11-30,B551894,인천교통공사
3136,인천대입구,S2801,인천지하철 1호선,Incheon National University,仁川大入口,일반역,-,-,37.386239,126.639351,인천교통공사,인천광역시 연수구 인천타워대로 155,032-451-3186,2020-11-30,B551894,인천교통공사
3137,센트럴파크,S2801,인천지하철 1호선,Central Park,-,일반역,-,-,37.392833,126.635002,인천교통공사,인천광역시 연수구 인천타워대로 240,032-451-3187,2020-11-30,B551894,인천교통공사
3138,국제업무지구,S2801,인천지하철 1호선,Int''''''''''''''''''''''''''''''''''''''''''''''',國際業務地區,일반역,-,-,37.400464,126.630094,인천교통공사,인천광역시 연수구 인천타워대로 334,032-451-3188,2020-11-30,B551894,인천교통공사
3201,검단오류,S2802,인천지하철 2호선,Geomdan Oryu,黔丹梧柳,일반역,-,-,37.595162,126.629206,인천교통공사,인천광역시 서구 검단로 187 (오류동),032-451-4301,2020-11-30,B551894,인천교통공사
3202,왕길,S2802,인천지하철 2호선,Wanggil,旺吉,일반역,-,-,37.592191,126.642284,인천교통공사,인천광역시 서구 검단로 323 (왕길동),032-451-4302,2020-11-30,B551894,인천교통공사
3203,검단사거리,S2802,인천지하철 2호선,Geomdan Sageori,黔丹十字路口,일반역,-,-,37.601693,126.656545,인천교통공사,인천광역시 서구 검단로 473 (왕길동),032-451-4303,2020-11-30,B551894,인천교통공사
3204,마전,S2802,인천지하철 2호선,Majeon,麻田,일반역,-,-,37.597756,126.667195,인천교통공사,인천광역시 서구 완정로 68 (마전동),032-451-4304,2020-11-30,B551894,인천교통공사
3205,완정,S2802,인천지하철 2호선,Wanjeong,完井,일반역,-,-,37.592867,126.672961,인천교통공사,인천광역시 서구 원당대로 650 (당하동),032-451-4305,2020-11-30,B551894,인천교통공사
3206,독정,S2802,인천지하철 2호선,Dokjeong,篤 亭,일반역,-,-,37.584927,126.675981,인천교통공사,인천광역시 서구 서곶로 760 (백석동),032-451-4306,2020-11-30,B551894,인천교통공사
3207,검암,S2802,인천지하철 2호선,Geomam,黔岩,환승역,I2802+S2801,공항철도,37.568611,126.671221,인천교통공사,인천광역시 서구 검바위로 4 (검암동),032-451-4307,2020-11-30,B551894,인천교통공사
3208,검바위,S2802,인천지하철 2호선,Geombawi,黔石,일반역,-,-,37.561091,126.677529,인천교통공사,인천광역시 서구 서곶로 492 (검암동),032-451-4308,2020-11-30,B551894,인천교통공사
3209,아시아드경기장,S2802,인천지하철 2호선,Asiad Stadium,亞運會賽場,일반역,-,-,37.551373,126.677075,인천교통공사,인천광역시 서구 서곶로 382 (연희동),032-451-4309,2020-11-30,B551894,인천교통공사
3210,서구청,S2802,인천지하철 2호선,Seo-gu Office,西區廳,일반역,-,-,37.543839,126.676795,인천교통공사,인천광역시 서구 서곶로 294 (심곡동),032-451-4310,2020-11-30,B551894,인천교통공사
3211,가정(루원시티),S2802,인천지하철 2호선,Gajeong,佳亭,일반역,-,-,37.524805,126.675387,인천교통공사,인천광역시 서구 봉오대로 234 (가정동),032-451-4311,2020-11-30,B551894,인천교통공사
3212,가정중앙시장,S2802,인천지하철 2호선,Gajeong Jungang Market,佳亭中央市場,일반역,-,-,37.517511,126.676784,인천교통공사,인천광역시 서구 가남로 400 (가정동),032-451-4312,2020-11-30,B551894,인천교통공사
3213,석남(거북시장),S2802,인천지하철 2호선,Seongnam,石南,일반역,-,-,37.507211,126.676304,인천교통공사,인천광역시 서구 가석로 257 (석남동),032-451-4313,2020-11-30,B551894,인천교통공사
3214,서부여성회관,S2802,인천지하철 2호선,West Woman’s Community Center,西部女性會館,일반역,-,-,37.500298,126.675875,인천교통공사,인천광역시 서구 가석로 169 (석남동),032-451-4314,2020-11-30,B551894,인천교통공사
3215,인천가좌,S2802,인천지하철 2호선,Incheon Gajwa,仁川佳佐,일반역,-,-,37.493762,126.675465,인천교통공사,인천광역시 서구 가석로 67 (가좌동),032-451-4315,2020-11-30,B551894,인천교통공사
3216,가재울,S2802,인천지하철 2호선,Gajaeul,伽岾溪,일반역,-,-,37.484152,126.683883,인천교통공사,인천광역시 서구 열우물로 252 (가좌동),032-451-4316,2020-11-30,B551894,인천교통공사
3217,주안국가산단,S2802,인천지하철 2호선,Juan National Industrial Complex,朱安國家産團,일반역,-,-,37.473599,126.681702,인천교통공사,인천광역시 서구 방축로 343 (가좌동),032-451-4317,2020-11-30,B551894,인천교통공사
3218,주안,S2802,인천지하철 2호선,Juan,朱安,환승역,I2802+I1101,경인선,37.465517,126.680441,인천교통공사,인천광역시 미추홀구 주안로 지하 91-1 (주안동),032-451-4318,2020-11-30,B551894,인천교통공사
3219,시민공원,S2802,인천지하철 2호선,Citizens Park,市民公園,일반역,-,-,37.458739,126.680091,인천교통공사,인천광역시 미추홀구 경인로 371 (주안동),032-451-4319,2020-11-30,B551894,인천교통공사
3220,석바위시장,S2802,인천지하철 2호선,Seokbawi Market,石岩市場,일반역,-,-,37.457659,126.692387,인천교통공사,인천광역시 미추홀구 구월로 19 (주안동),032-451-4320,2020-11-30,B551894,인천교통공사
3221,인천시청,S2802,인천지하철 2호선,Incheon City Hall,仁川市廳,환승역,I2802+I2801,인천1호선,37.456904,126.701523,인천교통공사,인천광역시 남동구 구월로 지하 99 (간석동),032-451-4321,2020-11-30,B551894,인천교통공사
3222,석천사거리,S2802,인천지하철 2호선,Seokcheon Sageori,石泉十字路口,일반역,-,-,37.4569323,126.710383,인천교통공사,인천광역시 남동구 구월로 지하 181 (구월동),032-451-4322,2020-11-30,B551894,인천교통공사
3223,모래내시장,S2802,인천지하철 2호선,Moraenae Market,沙丘市場,일반역,-,-,37.455842,126.719578,인천교통공사,인천광역시 남동구 구월로 지하 255 (구월동),032-451-4323,2020-11-30,B551894,인천교통공사
3224,만수,S2802,인천지하철 2호선,Mansu,万壽,일반역,-,-,37.454962,126.731764,인천교통공사,인천광역시 남동구 구월로 지하 367 (만수동),032-451-4324,2020-11-30,B551894,인천교통공사
3225,남동구청,S2802,인천지하철 2호선,Namdong-gu Office,南洞區廳,일반역,-,-,37.448179,123.736581,인천교통공사,인천광역시 남동구 인주대로 지하 889 (만수동),032-451-4325,2020-11-30,B551894,인천교통공사
3226,인천대공원,S2802,인천지하철 2호선,Incheon Grand Park,仁川大公園,일반역,-,-,37.448475,126.753051,인천교통공사,인천광역시 남동구 수인로 3677 (장수동),032-451-4326,2020-11-30,B551894,인천교통공사
3227,운연,S2802,인천지하철 2호선,Unyeon,云宴,일반역,-,-,37.437924,126.759409,인천교통공사,인천광역시 남동구 매소홀로 1229 (운연동),032-451-4327,2020-11-30,B551894,인천교통공사
2759,삼산체육관,S1107,서울 도시철도 7호선,Samsan Gymnasium,三山體育館,일반역,,,37.50636043,126.7417749,서울교통공사,인천광역시 부평구 길주로 지하713 (삼산동),02-6311-7571,2021-04-09,B553766,서울교통공사
2760,굴포천,S1107,서울 도시철도 7호선,Gulpocheon,掘浦川,일반역,,,37.50708334,126.7311071,서울교통공사,인천광역시 부평구 길주로 지하623 (삼산동),02-6311-7581,2021-04-09,B553766,서울교통공사
2761,부평구청,S1107,서울 도시철도 7호선,Bupyeong-gu Office,富平區廳,환승역,S2801,인천 도시철도 1호선,37.50795782,126.7211284,서울교통공사,인천광역시 부평구 길주로 지하527(갈산동),02-6311-7591,2021-04-09,B553766,서울교통공사
